planning_date,day_number,cluster,primary_keyword,title_draft,word_count_target,affiliate_y_n,affiliate_program,assigned_publish_date,publish_slot,status,notes
2026-04-12,8,beginner,birdwatching for beginners,Birdwatching for Beginners: The Complete 2026 Guide,3200,y,Amazon; Bookshop.org,2026-04-20,08:00,PUBLISHED,"Pillar article; cover getting started, gear, identification, apps, field guides, where to go; published early to temporary journal host"
2026-04-12,8,gear,best binoculars for birding,Best Binoculars for Birding in 2026: Tested and Ranked,2600,y,Amazon; OpticsPlanet,2026-04-20,11:00,PUBLISHED,"Pillar article; budget, mid-range, premium; primary affiliate driver; published early to temporary journal host"
2026-04-12,8,bird-id,how to identify birds,How to Identify Birds: 8 Techniques Every Birder Needs,2200,n,,2026-04-20,14:00,PUBLISHED,Pillar article; numbered practical guide; must internally link to Day 8 beginner guide; published early to temporary journal host
2026-04-12,9,beginner,birding gear for beginners,Essential Birding Gear for Beginners: What to Buy First,2200,y,Amazon; Bookshop.org,2026-04-21,08:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,9,backyard,backyard birding for beginners,"Backyard Birding for Beginners: Feeders, Habitats, and First Species",2200,y,Amazon,2026-04-21,11:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,9,regional,birds in texas,Common Backyard and Park Birds in Texas: A Practical Local Guide,2200,n,,2026-04-21,14:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,10,bird-id,how to identify warblers,"How to Identify Warblers: Field Marks, Songs, and Migration Timing",2200,n,,2026-04-22,08:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,10,migration,spring bird migration,"Spring Bird Migration: When to Watch, Where to Go, and What to Expect",2200,n,,2026-04-22,11:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,10,gear,best spotting scopes for birding,Best Spotting Scopes for Birding in 2026,2400,y,Amazon; OpticsPlanet; REI,2026-04-22,14:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,11,beginner,how to start birdwatching alone,How to Start Birdwatching Alone and Build Confidence Fast,2000,n,,2026-04-23,08:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,11,backyard,best bird feeders for cardinals and finches,"Best Backyard Bird Feeders for Cardinals, Finches, and Chickadees",2200,y,Amazon,2026-04-23,11:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,11,bird-id,how to identify hawks,"How to Identify Hawks in Flight: Shape, Behavior, and Habitat Clues",2200,n,,2026-04-23,14:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,12,regional,birds in florida,Birds in Florida: 25 Species Every Birder Should Know,2200,n,,2026-04-24,08:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,12,migration,hawk migration,"Hawk Migration Explained: Best Times, Weather, and Watch Sites",2200,n,,2026-04-24,11:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,12,gear,best birding apps,"Best Birding Apps in 2026: Merlin, eBird, and More Compared",2200,y,Amazon,2026-04-24,14:00,PUBLISHED,Supporting article; affiliate only where relevant for companion products; published early to temporary journal host
2026-04-12,13,beginner,birdwatching etiquette,Birdwatching Etiquette: 12 Rules Every Beginner Should Learn,2000,n,,2026-04-25,08:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,13,backyard,how to attract birds to your yard,How to Attract More Birds to Your Yard Naturally,2200,y,Amazon; REI,2026-04-25,11:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,13,regional,birds in california,Birds in California: A Beginner-Friendly Guide to Common Species,2200,n,,2026-04-25,14:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,14,bird-id,how to identify shorebirds,How to Identify Shorebirds Without Guessing,2200,n,,2026-04-26,08:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,14,migration,how to use ebird migration,How to Use eBird to Track Migration in Real Time,2000,n,,2026-04-26,11:00,PUBLISHED,Supporting article; published early to temporary journal host
2026-04-12,14,gear,best bird field guides,Best Bird Field Guides Compared: Sibley vs Peterson vs National Geographic,2400,y,Bookshop.org; Amazon,2026-04-26,14:00,PUBLISHED,Supporting article; published early to temporary journal host
