decision_date,area,decision,rationale,status,owner_alert_needed,next_action
2026-04-12,infrastructure,"Treat 2026-04-20 as Day 8 start for Week 1 content blitz","Current live date is 2026-04-12; user requested test Telegram copy with Date+8 and seven-day blitz window","active",n,"Use content-calendar.csv dates 2026-04-20 through 2026-04-26"
2026-04-12,hosting,"Hosting setup blocked pending Cloudways account/payment access and domain DNS","fieldandfeather.co does not currently resolve in DNS and no Cloudways credentials are present in workspace or Hermes config","blocked",y,"Owner must provide Cloudways access or complete initial payment-backed account creation"
2026-04-12,tracking,"Google Search Console setup blocked pending Google auth and domain verification path","No Google Workspace OAuth credentials are configured for Hermes and the site/domain are not yet live for verification","blocked",y,"Complete hosting + DNS first, then authorize Google access"
2026-04-12,telegram,"Telegram reporting blocked pending bot token and home channel configuration","~/.hermes/.env has no TELEGRAM_BOT_TOKEN, TELEGRAM_HOME_CHANNEL, or TELEGRAM_ALLOWED_USERS; gateway is not running","blocked",y,"Configure Hermes Telegram gateway, then send queued infrastructure report"
2026-04-12,hosting,"Use GitHub Pages as the temporary live editorial host","Repo already serves from main:/docs at https://dishadc.github.io/field-feather-co/ and this unblocks public publishing before WordPress is available","active",n,"Publish articles under docs/blog/ until WordPress cutover"
2026-04-12,affiliates,"Use placeholder ThirstyAffiliates links until affiliate IDs arrive","Owner requested autonomous execution with placeholders acceptable until IDs supplied","planned",y,"Create placeholder shortlinks after WordPress admin is reachable"
2026-04-12,publishing,"Published first pillar article to temporary GitHub Pages journal","WordPress remains blocked, so the beginner guide was published statically at /blog/birdwatching-for-beginners/ to keep editorial momentum moving","active",n,"Continue Day 8 pillar article production on temporary host"
2026-04-12,publishing,"Published second pillar article to temporary GitHub Pages journal","The binoculars buying guide is now live at /blog/best-binoculars-for-birding/ using expert-tested Audubon and Cornell review data as the ranking basis","active",n,"Publish the Day 8 bird-identification pillar next"
2026-04-12,publishing,"Published third pillar article to temporary GitHub Pages journal","The Day 8 bird-ID pillar is now live at /blog/how-to-identify-birds/ and completes the three-article foundation set for the blitz","active",n,"Begin Day 9 supporting articles on the temporary host"
2026-04-12,publishing,"Published first Day 9 supporting article to temporary GitHub Pages journal","The beginner gear guide is now live at /blog/essential-birding-gear-for-beginners/ and starts the supporting article layer of the blitz","active",n,"Continue through remaining Day 9 articles"
2026-04-12,publishing,"Published three additional queued articles via parallel subagents","Backyard Birding for Beginners, the Texas regional guide, and the warbler ID guide are now drafted, published, recorded, and linked from the journal hub","active",n,"Continue with spring migration and spotting-scope articles next"
2026-04-12,publishing,"Published three more queued articles via parallel subagents","Spring Bird Migration, Best Spotting Scopes for Birding in 2026, and How to Start Birdwatching Alone are now live and recorded in the operating files","active",n,"Continue with best feeder guide, hawk ID, and Florida guide next"
2026-04-12,publishing,"Published feeder guide, hawk ID guide, and Florida regional guide via parallel subagents","The journal now includes feeder strategy, raptor identification, and Florida regional content, expanding both beginner and regional coverage","active",n,"Continue with hawk migration, birding apps, and etiquette next"
2026-04-12,qa,"Established CEO-led validation stack","Added storefront smoke tests, browser flow QA, content integrity QA, CEO execution review artifacts, and intraday review SOPs; current validation stack is PASS","active",n,"Keep running CEO execution reviews every few hours and fix regressions before expansion"
2026-04-12,publishing,"Published hawk migration, birding apps, and etiquette guides via parallel subagents","The journal now expands migration, tooling, and beginner field conduct coverage while Week 1 blitz momentum stays ahead of schedule","active",n,"Continue with attract birds, California regional guide, and shorebird ID next"
2026-04-12,publishing,"Published backyard habitat, California regional, and shorebird ID guides via parallel subagents","The journal now expands backyard conversion, western regional coverage, and shorebird identification while Week 1 blitz nears completion","active",n,"Finish the final two queued articles: eBird migration and field guide comparison"
2026-04-12,publishing,"Published eBird migration and field guide comparison guides to complete the Week 1 blitz slate","The temporary journal now covers the full planned 21-article Week 1 curriculum across beginner, migration, regional, gear, and identification clusters","active",n,"Shift from blitz completion to cadence publishing, analytics, and content refresh prioritization"
2026-04-12,governance,"Codified public-surface information hygiene and CEO operating-system stewardship","The constitution now explicitly forbids leaking internal operations on public surfaces and makes continuous improvement of repo, team, agents, processes, and governing docs a standing CEO duty","active",n,"Keep public-copy QA gates active and treat any future leak as a process failure"
2026-04-12,operations,"Created a persistent CEO execution board for company steering","A single internal operating board now tracks priorities, workstreams, blockers, and company-system improvement so recurring CEO reviews have one control surface","active",n,"Keep the board current during every active execution review and use it to steer next company-building work"
2026-04-12,customer-surface,"Replaced personal mailto newsletter/signup patterns with a customer-safe journal CTA architecture","Public storefront surfaces should not expose personal fallback email routing or low-polish signup mechanics before the branded newsletter stack is ready","active",n,"Use branded subscriber capture only when Beehiiv or an equivalent customer-safe path is configured"
2026-04-13,roadmap,"Established ROADMAP.md as the canonical CEO-owned product roadmap","The company now has a single living roadmap with North Star, Now, Up Next, On the Horizon, and Explicitly Not Building sections so all workstreams can align to one source of truth","active",n,"Review the roadmap every Monday morning and on trigger events; use it to steer all company-building work"
2026-04-13,content,"Optimized regional article hubs with stronger onward journeys","Texas, Florida, and California guides now function more clearly as hub pages by steering readers into beginner, migration, and adjacent supporting content","active",n,"Move next to migration-cluster optimization so seasonal traffic has equally strong onward paths"
2026-04-13,content,"Optimized migration article hubs with stronger onward journeys","Spring migration, hawk migration, and eBird migration guides now reinforce one another so seasonal readers move more naturally from overview to tactics to field application","active",n,"Move next to gear-cluster optimization so product-adjacent readers get equally strong next steps"
2026-04-13,content,"Optimized gear article hubs with stronger onward journeys","Binoculars, birding apps, field guides, and spotting scopes pages now reinforce one another and route readers toward adjacent learning or purchase-intent content","active",n,"Use the strengthened hub network to identify best lead-magnet and subscriber entry pages next"
2026-04-13,growth,"Identified the strongest subscriber-entry pages for future lead magnet placement","The highest-leverage entry pages are beginner, beginner-gear, backyard, migration, and eBird migration guides because they best combine trust, intent, and natural next-step behavior","active",n,"Use the shortlist to design the first branded capture rollout once Beehiiv or equivalent subscriber infrastructure is ready"
2026-04-13,growth,"Rolled out soft Morning Warbler CTAs on the top shortlisted entry pages","The first branded subscriber architecture is now visible on the strongest beginner and migration entry pages using customer-safe journal CTAs instead of brittle signup mechanics","active",n,"Expand the same pattern carefully where it improves relevance, then swap to live subscriber capture once Beehiiv is ready"
2026-04-13,growth,"Specified the branded Morning Warbler rollout architecture","The company now has a page-by-page CTA pattern, offer mapping, and swap plan for replacing soft journal CTAs with real subscriber capture once Beehiiv is ready","active",n,"Use the rollout spec to expand Morning Warbler modules carefully and later switch each page to the right live capture pattern"
2026-04-13,growth,"Extended Morning Warbler rollout to regional state-guide pages","Texas, Florida, and California guides now reinforce the future regional-checklist conversion path with customer-safe Morning Warbler entry modules","active",n,"Use these pages later as state-checklist capture nodes when branded subscriber infrastructure is live"
2026-04-13,customer-surface,"Launched premium public support architecture","A dedicated support page now routes customers toward the correct help channel without exposing fragile fallback contacts, improving trust and reducing ambiguity across legal and storefront surfaces","active",n,"Keep support guidance aligned with the eventual live commerce and subscriber stack so customer help paths stay polished as the company grows"
2026-04-13,growth,"Extended Morning Warbler rollout to hawk migration and finalized rollout spec coverage","The soft branded subscriber architecture now spans beginner, migration, regional, and hawkwatch entry paths, giving the company one coherent customer-safe transition into future subscriber products","active",n,"Use this wider rollout footprint to compare which page families deserve the first live Beehiiv or lead-magnet conversion surfaces"
2026-04-13,growth,"Created execution-ready subscriber growth assets","The company now has a page-by-page subscriber entry matrix and a reusable Morning Warbler CTA copy library so future Beehiiv and lead-magnet rollout can ship faster without copy drift","active",n,"Use the matrix and copy library as the operating source for future subscriber capture experiments and live rollout swaps"
