post_id,title,url,publish_date,primary_keyword,word_count,categories,has_affiliate,status
static-20260412-birdwatching-for-beginners,"Birdwatching for Beginners: The Complete 2026 Guide",https://dishadc.github.io/field-feather-co/blog/birdwatching-for-beginners/,2026-04-12,birdwatching for beginners,2897,"beginner;birding-basics",y,LIVE_STATIC_TEMP
static-20260412-best-binoculars-for-birding,"Best Binoculars for Birding in 2026: Tested and Ranked",https://dishadc.github.io/field-feather-co/blog/best-binoculars-for-birding/,2026-04-12,best binoculars for birding,2765,"gear;binoculars",y,LIVE_STATIC_TEMP
static-20260412-how-to-identify-birds,"How to Identify Birds: 8 Techniques Every Birder Needs",https://dishadc.github.io/field-feather-co/blog/how-to-identify-birds/,2026-04-12,how to identify birds,1954,"bird-id;identification",n,LIVE_STATIC_TEMP
static-20260412-essential-birding-gear,"Essential Birding Gear for Beginners: What to Buy First",https://dishadc.github.io/field-feather-co/blog/essential-birding-gear-for-beginners/,2026-04-12,birding gear for beginners,1853,"beginner;gear",y,LIVE_STATIC_TEMP
static-20260412-backyard-birding-for-beginners,"Backyard Birding for Beginners: Feeders, Habitats, and First Species",https://dishadc.github.io/field-feather-co/blog/backyard-birding-for-beginners/,2026-04-12,backyard birding for beginners,2955,"backyard;beginner;bird-feeding",y,LIVE_STATIC_TEMP
static-20260412-birds-in-texas,"Common Backyard and Park Birds in Texas: A Practical Local Guide",https://dishadc.github.io/field-feather-co/blog/birds-in-texas/,2026-04-12,common backyard and park birds in Texas,3385,"regional;texas;bird-id",n,LIVE_STATIC_TEMP
static-20260412-how-to-identify-warblers,"How to Identify Warblers: Field Marks, Songs, and Migration Timing",https://dishadc.github.io/field-feather-co/blog/how-to-identify-warblers/,2026-04-12,how to identify warblers,2686,"bird-id;warblers;migration",n,LIVE_STATIC_TEMP
static-20260412-spring-bird-migration,"Spring Bird Migration: When to Watch, Where to Go, and What to Expect",https://dishadc.github.io/field-feather-co/blog/spring-bird-migration/,2026-04-12,spring bird migration,2762,"migration;beginner;birding-tips",n,LIVE_STATIC_TEMP
static-20260412-best-spotting-scopes,"Best Spotting Scopes for Birding in 2026",https://dishadc.github.io/field-feather-co/blog/best-spotting-scopes-for-birding/,2026-04-12,best spotting scopes for birding,3590,"gear;optics;birdwatching",y,LIVE_STATIC_TEMP
static-20260412-birdwatching-alone,"How to Start Birdwatching Alone and Build Confidence Fast",https://dishadc.github.io/field-feather-co/blog/how-to-start-birdwatching-alone/,2026-04-12,how to start birdwatching alone,3022,"beginner;how-to;bird-id-basics",n,LIVE_STATIC_TEMP
