publish_order,sku,target_channel,status,notes
1,DIGI-WARBLER-BUNDLE-001,etsy,queued,autogenerated queue
2,DIGI-STATE-CALIFORNIA,etsy,queued,autogenerated queue
3,DIGI-STATE-TEXAS,etsy,queued,autogenerated queue
4,DIGI-STATE-FLORIDA,etsy,queued,autogenerated queue
5,DIGI-STATE-NEW-YORK,etsy,queued,autogenerated queue
6,DIGI-STATE-WASHINGTON,etsy,queued,autogenerated queue
7,DIGI-STATE-COLORADO,etsy,queued,autogenerated queue
8,DIGI-STATE-NORTH-CAROLINA,etsy,queued,autogenerated queue
9,DIGI-STATE-ARIZONA,etsy,queued,autogenerated queue
10,DIGI-STATE-OREGON,etsy,queued,autogenerated queue
11,DIGI-STATE-PENNSYLVANIA,etsy,queued,autogenerated queue
12,DIGI-MIGRATION-WEEKLY-001,etsy,queued,autogenerated queue
13,DIGI-MIGRATION-WEEKLY-002,etsy,queued,autogenerated queue
14,DIGI-MIGRATION-WEEKLY-003,etsy,queued,autogenerated queue
15,DIGI-MIGRATION-WEEKLY-004,etsy,queued,autogenerated queue
16,DIGI-MIGRATION-WEEKLY-005,etsy,queued,autogenerated queue
17,DIGI-MIGRATION-WEEKLY-006,etsy,queued,autogenerated queue
18,DIGI-MIGRATION-WEEKLY-007,etsy,queued,autogenerated queue
19,DIGI-MIGRATION-WEEKLY-008,etsy,queued,autogenerated queue
20,DIGI-MIGRATION-WEEKLY-009,etsy,queued,autogenerated queue
