priority,page_slug,page_title,entry_cluster,recommended_offer,cta_pattern,primary_cta_angle,placement_note,status
1,birdwatching-for-beginners,Birdwatching for Beginners: The Complete 2026 Guide,beginner,Beginner Birding Starter Checklist,direct-newsletter,Start your first month of birdwatching with a simple field checklist,Place after core habit-building section and before FAQ,soft_live
2,essential-birding-gear-for-beginners,Essential Birding Gear for Beginners: What to Buy First,beginner-gear,Beginner Field Kit Shortlist,lead-magnet-first,Get the beginner field kit shortlist when it launches,Place after first-purchases block and before FAQ,soft_live
3,backyard-birding-for-beginners,Backyard Birding for Beginners: Feeders Habitats and First Species,backyard,Backyard Habitat Starter Planner,lead-magnet-first,Build a better backyard patch one season at a time,Place after routine-building section and before FAQ,soft_live
4,spring-bird-migration,Spring Bird Migration: When to Watch Where to Go and What to Expect,migration,Spring Migration Tracker,direct-newsletter,Follow migration with a cleaner seasonal rhythm,Place after FAQ lead-in and before conclusion,soft_live
5,how-to-use-ebird-migration,How to Use eBird to Track Migration in Real Time,migration-tools,Migration Worksheet plus seasonal notes,direct-newsletter,Turn migration data into a steadier field habit,Place after FAQ lead-in and before conclusion,soft_live
6,birds-in-texas,Common Backyard and Park Birds in Texas: A Practical Local Guide,regional,Texas Birding Checklist,lead-magnet-first,Keep your Texas birds in one cleaner seasonal record,Place after conclusion and before related reads,soft_live
7,birds-in-florida,Birds in Florida: 25 Species Every Birder Should Know,regional,Florida Birding Checklist,lead-magnet-first,Keep your Florida birds habitats and first seasonal shifts together,Place after conclusion and before related reads,soft_live
8,birds-in-california,Birds in California: A Beginner-Friendly Guide to Common Species,regional,California Birding Checklist,lead-magnet-first,Keep your California birds and habitats in one calmer field record,Place after conclusion and before related reads,soft_live
9,hawk-migration,Hawk Migration Explained: Best Times Weather and Watch Sites,migration-event,Hawk Watch Log,lead-magnet-first,Keep your hawkwatch timing weather and movement notes together,Place after conclusion and before related reads,soft_live
10,best-birding-apps,Best Birding Apps in 2026: Merlin eBird and More Compared,gear-trust,Birding App Field Workflow Sheet,direct-newsletter,Use better tools without making birding feel synthetic,Place after conclusion and before related reads,soft_live
11,best-bird-field-guides,Best Bird Field Guides Compared: Sibley vs Peterson vs National Geographic,gear-trust,Field Guide Comparison Worksheet,lead-magnet-first,Choose the guide that fits how you actually learn birds,Place after conclusion and before related reads,soft_live
12,best-binoculars-for-birding,Best Binoculars for Birding in 2026: Tested and Ranked,gear-trust,Binocular Buying Shortlist,lead-magnet-first,Buy once and buy well with a calmer optics shortlist,Place after conclusion and before related reads,soft_live
13,best-spotting-scopes-for-birding,Best Spotting Scopes for Birding in 2026,gear-trust,Distance-Birding Upgrade Guide,lead-magnet-first,Decide when a scope is actually the right next upgrade,Place after conclusion and before related reads,soft_live
