pin_title,pin_description,target_sku,target_url,campaign,status
Warbler Bundle 001 Printable for Birders,Warbler-focused printable bundle for migration season field notes and life-list tracking.,DIGI-WARBLER-BUNDLE-001,https://wingbustle.gumroad.com/l/digi-warbler-bundle-001,launch-week-1,live-link
State California Printable for Birders,California bird checklist printable for local patch birding and trip logs.,DIGI-STATE-CALIFORNIA,https://wingbustle.gumroad.com/l/digi-state-california,launch-week-1,live-link
State Texas Printable for Birders,Texas bird checklist printable for local patch birding and trip logs.,DIGI-STATE-TEXAS,https://wingbustle.gumroad.com/l/digi-state-texas,launch-week-1,live-link
State Florida Printable for Birders,Florida bird checklist printable for local patch birding and trip logs.,DIGI-STATE-FLORIDA,https://wingbustle.gumroad.com/l/digi-state-florida,launch-week-1,live-link
State New York Printable for Birders,New York bird checklist printable for local patch birding and trip logs.,DIGI-STATE-NEW-YORK,https://wingbustle.gumroad.com/l/digi-state-new-york,launch-week-1,live-link
State Washington Printable for Birders,Washington bird checklist printable for local patch birding and trip logs.,DIGI-STATE-WASHINGTON,https://wingbustle.gumroad.com/l/digi-state-washington,launch-week-1,live-link
State Colorado Printable for Birders,Colorado bird checklist printable for local patch birding and trip logs.,DIGI-STATE-COLORADO,https://wingbustle.gumroad.com/l/digi-state-colorado,launch-week-1,live-link
State North Carolina Printable for Birders,North Carolina bird checklist printable for local patch birding and trip logs.,DIGI-STATE-NORTH-CAROLINA,https://wingbustle.gumroad.com/l/digi-state-north-carolina,launch-week-1,live-link
State Arizona Printable for Birders,Arizona bird checklist printable for local patch birding and trip logs.,DIGI-STATE-ARIZONA,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-STATE-ARIZONA,launch-week-1,product-page-prelaunch
State Oregon Printable for Birders,Oregon bird checklist printable for local patch birding and trip logs.,DIGI-STATE-OREGON,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-STATE-OREGON,launch-week-1,product-page-prelaunch
State Pennsylvania Printable for Birders,Pennsylvania bird checklist printable for local patch birding and trip logs.,DIGI-STATE-PENNSYLVANIA,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-STATE-PENNSYLVANIA,launch-week-1,product-page-prelaunch
Migration Weekly 001 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-001,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-001,launch-week-1,product-page-prelaunch
Migration Weekly 002 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-002,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-002,launch-week-1,product-page-prelaunch
Migration Weekly 003 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-003,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-003,launch-week-1,product-page-prelaunch
Migration Weekly 004 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-004,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-004,launch-week-1,product-page-prelaunch
Migration Weekly 005 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-005,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-005,launch-week-1,product-page-prelaunch
Migration Weekly 006 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-006,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-006,launch-week-1,product-page-prelaunch
Migration Weekly 007 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-007,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-007,launch-week-1,product-page-prelaunch
Migration Weekly 008 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-008,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-008,launch-week-1,product-page-prelaunch
Migration Weekly 009 Printable for Birders,Weekly spring migration tracker printable for first-seen and peak-movement logs.,DIGI-MIGRATION-WEEKLY-009,https://dishadc.github.io/field-feather-co/product.html?sku=DIGI-MIGRATION-WEEKLY-009,launch-week-1,product-page-prelaunch
