sku,product_title,price_usd,gumroad_slug,status
DIGI-STATE-ARIZONA,,5.99,,ready
DIGI-STATE-OREGON,,5.99,,ready
DIGI-STATE-PENNSYLVANIA,,5.99,,ready
DIGI-MIGRATION-WEEKLY-001,,4.99,,draft
DIGI-MIGRATION-WEEKLY-002,,4.99,,draft
DIGI-MIGRATION-WEEKLY-003,,4.99,,draft
DIGI-MIGRATION-WEEKLY-004,,4.99,,draft
DIGI-MIGRATION-WEEKLY-005,,4.99,,draft
DIGI-MIGRATION-WEEKLY-006,,4.99,,draft
DIGI-MIGRATION-WEEKLY-007,,4.99,,draft
DIGI-MIGRATION-WEEKLY-008,,4.99,,draft
DIGI-MIGRATION-WEEKLY-009,,4.99,,draft
